<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2021.03.15	05:10:00	1.19493	1.19498	1.19491	1.19491	27	0	1
2021.03.15	05:11:00	1.19491	1.19500	1.19487	1.19496	39	0	1
2021.03.15	05:12:00	1.19496	1.19506	1.19496	1.19505	34	0	1
2021.03.15	05:13:00	1.19504	1.19506	1.19494	1.19495	34	0	1
2021.03.15	05:14:00	1.19497	1.19498	1.19492	1.19496	33	0	1
2021.03.15	05:15:00	1.19496	1.19508	1.19496	1.19507	52	0	1
2021.03.15	05:16:00	1.19508	1.19511	1.19502	1.19507	35	0	1
2021.03.15	05:17:00	1.19507	1.19522	1.19503	1.19515	58	0	1
2021.03.15	05:18:00	1.19515	1.19515	1.19494	1.19497	85	0	1
2021.03.15	05:19:00	1.19497	1.19497	1.19486	1.19492	83	0	1
2021.03.15	05:20:00	1.19491	1.19494	1.19482	1.19488	53	0	1
2021.03.15	05:21:00	1.19487	1.19490	1.19473	1.19475	36	0	1
2021.03.15	05:22:00	1.19474	1.19487	1.19473	1.19486	46	0	1
2021.03.15	05:23:00	1.19485	1.19485	1.19480	1.19483	16	0	1
2021.03.15	05:24:00	1.19483	1.19494	1.19483	1.19494	23	0	1
2021.03.15	05:25:00	1.19494	1.19494	1.19480	1.19480	38	0	1
2021.03.15	05:26:00	1.19480	1.19493	1.19478	1.19491	23	0	1
2021.03.15	05:27:00	1.19491	1.19491	1.19486	1.19486	22	0	1
2021.03.15	05:28:00	1.19486	1.19498	1.19486	1.19495	28	0	1
2021.03.15	05:29:00	1.19495	1.19495	1.19487	1.19488	12	0	1
2021.03.15	05:30:00	1.19490	1.19492	1.19479	1.19484	42	0	1
2021.03.15	05:31:00	1.19484	1.19485	1.19477	1.19479	35	0	1
2021.03.15	05:32:00	1.19477	1.19491	1.19477	1.19487	17	0	1
2021.03.15	05:33:00	1.19488	1.19499	1.19485	1.19499	25	0	1
